"","w","n_imperv","n_perv","s_imperv","s_perv","k_sat","per_routed","cmelt","Tb","A1","B1"
"1",698.74783209525,0.161,0.096,4.13,9.673,6.732,85.5,0.525,-0.594,0.00036,2.807
"2",585.228515556082,0.18,0.037,9.025,3.069,8.305,93.6,3.445,1.144,0.00673,1.984
"3",1472.95579290949,0.18,0.186,1.81,8.378,4.274,15.8,1.299,-2.985,0.00136,1.758
"4",913.372612558305,0.08,0.048,6.711,0.895,0.803,45.6,3.804,-2.66,0.00927,2.418
"5",589.948165230453,0.024,0.036,2.375,4.609,7.365,0.8,2.213,-0.827,0.00493,2.249
"6",1463.55051826686,0.108,0.086,9.405,3.164,0.345,31,1.401,-2.226,0.00866,1.557
"7",1120.52942207083,0.107,0.104,4.103,6.698,5.351,53.4,1.536,-1.66,0.00956,1.347
"8",1265.91423572972,0.115,0.067,0.464,8.768,1.698,61,1.926,-1.032,0.00401,2.715
"9",650.340046267956,0.075,0.023,3.881,5.396,8.104,67.7,2.647,0.448,0.00962,1.062
"10",790.662840940058,0.181,0.139,3.401,9.611,0.083,47,1.415,2.299,0.00817,2.012
"11",562.995446845889,0.05,0.163,9.453,7.868,4.066,67.4,3.271,-2.183,0.00086,2.069
"12",1372.87586508319,0.041,0.166,2.825,9.634,7.782,9,3.271,-1.893,0.0013,1.562
"13",915.520009817556,0.172,0.055,8.915,4.529,0.585,18.4,2,0.725,0.0012,1.116
"14",562.243275577202,0.122,0.085,5.23,9.039,8.063,42.9,1.778,2.927,0.00683,2.229
"15",1011.13640866242,0.031,0.032,2.085,5.363,2.208,48.6,1.845,-2.5,0.00628,1.881
"16",724.252694752067,0.137,0.051,5.445,0.934,4.709,25.4,3.249,-0.366,0.00489,2.972
"17",735.580086242408,0.071,0.083,5.415,9.123,6.525,77.5,2.803,-0.919,0.00261,1.799
"18",1488.20818099193,0.128,0.076,3.522,1.43,1.682,88.4,1.555,2.288,0.00113,2.806
"19",687.115140492097,0.106,0.126,3.863,0.667,2.859,78.7,0.445,1.492,0.0055,2.119
"20",565.889335237443,0.038,0.047,2.062,7.143,2.301,57.6,3.691,-0.605,0.0086,1.669
"21",1333.9885994792,0.051,0.183,2.597,9.449,8.893,84.4,1.013,-1.507,0.0055,2.851
"22",1383.2950363867,0.062,0.191,5.94,0.009,8.03,47.3,1.576,-0.764,0.0082,1.418
"23",916.091580176726,0.144,0.142,7.108,0.432,7.154,58,1.125,1.8,0.00884,2.706
"24",1427.97794914804,0.031,0.078,0.958,7.691,1.495,62,1.095,-2.408,0.00591,1.72
"25",868.452538968995,0.078,0.058,4.006,2.329,2.982,51.9,2.142,-1.071,0.0075,2.75
"26",996.442371979356,0.052,0.049,9.882,8.739,5.188,37.1,3.527,0.293,0.00068,2.452
"27",891.16166299209,0.134,0.094,5.863,6.052,8.095,84.6,0.808,-1.175,0.00684,1.082
"28",1171.92374076694,0.053,0.122,6.352,9.528,8.009,81.8,2.79,0.422,0.00504,1.43
"29",1363.16058575176,0.193,0.122,7.447,0.639,2.588,9.7,0.807,-2.333,0.00885,2.006
"30",1038.28537720256,0.033,0.186,9.705,0.443,9.222,19.1,0.698,-2.453,0.0057,1.148
"31",841.18029801175,0.175,0.076,7.376,9.554,2.539,78.1,1.923,-2.999,0.00432,1.239
"32",740.030815359205,0.084,0.135,1.227,3.528,7.381,75.8,0.631,1.03,0.0041,2.711
"33",779.492644127458,0.035,0.042,5.453,2.817,6.004,63.1,3.328,2.316,0.00686,2.893
"34",819.133729208261,0.091,0.085,1.73,8.119,5.888,68.2,1.383,-2.956,0.00909,2.026
"35",1424.99936930835,0.13,0.116,9.254,7.49,1.008,35.5,2.57,-0.615,0.00479,1.945
"36",612.767103360966,0.123,0.131,8.054,9.204,2.061,57.1,3.889,-0.7,0.00526,1.023
"37",1020.84017824382,0.05,0.058,0.542,4.106,7.893,9.7,1.426,-2.084,0.00069,1.678
"38",546.365745831281,0.151,0.072,1.133,8.891,8.735,13.2,0.519,-1.383,0.00228,2.118
"39",1279.13829707541,0.067,0.061,7.208,0.97,7.473,51.2,3.641,-1.397,0.0039,2.281
"40",662.695782724768,0.082,0.046,5.611,2.838,8.011,56.6,0.086,-0.947,0.00684,1.996
"41",1122.14750633575,0.09,0.06,1.613,5.64,3.294,4.9,3.28,0.577,0.00767,2.801
"42",1301.34470178746,0.052,0.174,2.652,4.515,9.922,11.2,1.409,2.401,0.00962,2.805
"43",1312.32676235959,0.027,0.062,4.196,1.666,1.331,46.9,2.91,-0.545,0.00801,1.806
"44",1162.40656771697,0.179,0.132,6.645,7.058,2.161,39.3,3.451,2.127,0.00196,1.855
"45",780.378796625882,0.059,0.136,0.023,3.024,3.629,30.6,0.391,1.971,0.00823,1.457
"46",748.179127462208,0.073,0.119,5.822,5.006,3.054,27.8,0.525,-1.761,0.00997,1.598
"47",1184.30797266774,0.121,0.183,9.483,2.354,6.748,83.1,3.669,1.436,0.00486,1.75
"48",1097.31468232349,0.091,0.109,6.725,8.185,4.965,89.8,0.225,-0.872,0.00179,1.458
"49",1204.23919381574,0.024,0.163,6.875,1.377,4.618,6.8,2.811,1.218,0.00187,2.603
"50",1253.04928910919,0.168,0.158,1.541,6.39,5.456,57.9,1.415,0.805,0.00239,1.235
"51",1398.63910828717,0.113,0.19,3.014,9.701,9.739,52,2.651,-0.196,0.00129,2.291
"52",623.97121055983,0.078,0.117,8.824,0.182,2.539,48.6,2.8,-1.102,0.00952,1.304
"53",1420.3305344563,0.197,0.049,2.904,0.088,6.569,21.1,3.504,0.287,0.00739,2.841
"54",1219.00941827334,0.098,0.072,7.847,9.445,2.212,19.1,1.444,0.138,0.00894,1.984
"55",1257.36708869226,0.032,0.167,1.797,8.759,6.14,81.4,0.329,2.122,0.00566,3
"56",582.094930112362,0.119,0.124,9.595,4.342,5.866,39.4,3.329,-1.747,0.00635,2.476
"57",1045.76001269743,0.09,0.166,6.98,5.01,6.681,49.4,3.128,-2.27,0.00914,1.977
"58",720.415849238634,0.169,0.038,8.419,9.092,7.898,74.1,0.811,-2.359,0.00601,2.917
"59",1259.30651230738,0.155,0.019,1.099,1.651,7.457,59.3,1.445,2.107,0.00985,1.71
"60",777.833137195557,0.074,0.045,2.579,6.749,2.057,0.3,0.304,-2.824,0.00492,1.197
"61",889.529915293679,0.108,0.101,3.432,0.385,8.172,59.1,3.848,0.731,0.00248,1.083
"62",731.595323886722,0.102,0.181,9.374,4.717,1.248,15.4,0.684,2.602,0.00188,1.727
"63",711.05862618424,0.171,0.048,7.436,9.08,8.725,59.9,1.973,1.013,0.00562,1.416
"64",1478.05185918696,0.014,0.167,7.802,3.884,4.607,93.9,2.353,2.063,0.0079,2.534
"65",623.187161749229,0.196,0.132,8.473,6.173,3.442,21.1,1.037,2.534,0.00214,1.734
"66",1376.82447209954,0.1,0.012,6.763,8.927,9.429,99.5,0.509,-1.425,0.00321,1.273
"67",566.015949938446,0.173,0.022,3.425,2.748,1.731,27.3,3.75,1.607,0.00352,1.817
"68",831.968466751277,0.03,0.163,7.27,3.204,9.752,41.4,0.718,-1.746,0.00399,1.721
"69",974.299843423069,0.167,0.184,5.197,1.266,3.034,14.7,1.265,2.929,0.00607,1.718
"70",934.5207947772,0.169,0.126,6.395,4.354,4.528,7,1.51,1.794,0.00223,2.267
"71",613.106787903234,0.178,0.028,2.083,2.922,4.608,42.1,1.133,1.521,0.00724,2.03
"72",1166.27204907127,0.17,0.181,7.939,6.468,6.38,14.6,1.1,1.092,0.00583,2.588
"73",891.806961037219,0.153,0.057,8.121,4.014,5.861,36.6,2.282,-2.85,0.00064,2.698
"74",961.8401133921,0.166,0.146,9.233,2.36,5.38,34.4,3.986,-2.446,0.00883,2.923
"75",527.554546715692,0.031,0.129,9.24,3.266,0.7,80.4,3.956,2.937,0.00303,1.68
"76",1270.01333655789,0.067,0.045,1.945,8.932,4.533,41.7,3.035,-2.931,0.00329,2.581
"77",851.535367313772,0.129,0.113,5.969,0.845,1.399,43.9,2.609,-2.115,0.00735,2.622
"78",628.836933057755,0.021,0.113,7.385,2.069,2.661,49.4,0.513,-1.234,0.00032,1.429
"79",956.939948955551,0.184,0.077,0.952,9.004,2.262,83.3,3.629,2.587,0.00911,2.232
"80",957.246551988646,0.101,0.156,4.033,2.852,6.525,9.1,0.22,-2.552,0.00512,1.543
"81",820.024288957939,0.118,0.156,3.262,3.096,3.485,96.9,0.145,-0.899,9e-04,1.487
"82",894.902817439288,0.072,0.058,7.254,3.602,5.924,26.2,2.142,-0.056,0.0013,1.491
"83",515.827046008781,0.144,0.059,6.133,8.543,2.356,77.7,3.901,1.6,0.00289,2.694
"84",834.788619773462,0.181,0.192,9.815,7.997,5.249,18.3,0.939,2.99,0.00843,1.732
"85",618.252282962203,0.191,0.158,5.371,0.077,0.083,82.5,1.228,0.519,0.00489,2.36
"86",1193.05313518271,0.082,0.024,4.247,6.464,3.75,31.9,0.555,-2.503,0.005,1.47
"87",1106.78056743927,0.136,0.124,9.562,6.373,1.206,47.2,2.831,-1.531,0.00791,1.087
"88",762.121514882892,0.094,0.154,6.791,5.886,1.786,91.1,0.176,-1.974,0.00472,1.985
"89",902.832446387038,0.111,0.194,8.298,2.708,4.834,55.2,0.755,0.929,0.00037,1.212
"90",514.18875833042,0.179,0.137,0.909,6.125,0.71,83.9,1.247,-0.344,0.00802,2.459
"91",552.013418404385,0.076,0.181,0.994,2.163,7.935,51.1,3.294,1.668,0.00977,1.201
"92",1286.25854267739,0.097,0.166,3.817,9.268,3.066,48.2,2.615,-0.722,0.00233,2.292
"93",512.006115401164,0.182,0.051,3.395,0.594,3.736,48.9,3.187,0.172,0.00965,1.409
"94",953.230009181425,0.05,0.072,4.682,7.197,5.151,59.1,3.072,2.384,0.00392,2.09
"95",581.017893739045,0.041,0.128,1.147,0.34,8.819,28.8,1.659,1.108,0.00065,2.389
"96",832.651405129582,0.066,0.193,6.759,8.542,3.016,69.3,2.686,-0.123,0.00828,2.52
"97",1123.83152940311,0.031,0.072,3.019,0.308,8.179,45.7,1,0.407,0.00395,1.752
"98",754.920579493046,0.072,0.031,8.303,3.726,3.759,3.6,1.662,2.824,0.00629,1.104
