"Reff.delta","MeanDiff.delta","FlowWeightedReff.delta","VolumeError.delta","Reff.delta_conf","MeanDiff.delta_conf","FlowWeightedReff.delta_conf","VolumeError.delta_conf"
"PERC",0.06361337,0.05054619,0.05313723,0.04565762,0.00453134,0.00232562,0.00418583,0.00192008
"Alpha",0.03525028,0.07263081,0.11390011,0.04452033,0.00340558,0.00368044,0.00269313,0.00248353
"K1",0.04746198,0.06534073,0.09721803,0.04545835,0.0042548,0.00228209,0.00219378,0.00177039
"K2",0.17980198,0.04593714,0.03491086,0.05295031,0.0024498,0.00294076,0.00417617,0.00256807
"MAXBAS",0.02779127,0.07096748,0.09489417,0.04660677,0.00249672,0.00306786,0.00654264,0.0033279
"Cet",0.17385165,0.19919414,0.16551288,0.56161952,0.00357499,0.00380303,0.00369063,0.00269613
"TT_1",0.26290583,0.17593201,0.16961599,0.04690036,0.00315696,0.00309479,0.00282109,0.00548348
"CFMAX_1",0.0624618,0.07291159,0.03950471,0.04786382,0.00378508,0.00334528,0.00433126,0.0025732
"SFCF_1",0.0417056,0.08237369,0.16959011,0.05354578,0.00352988,0.00285739,0.00496568,0.00106677
"CFR_1",0.0280089,0.0450378,0.02838205,0.03842961,0.00261694,0.00179557,0.00299082,0.00315667
"CWH_1",0.05476045,0.04470035,0.04370934,0.0360596,0.00351278,0.00317351,0.00316013,0.00271508
"FC_1",0.03087787,0.05687671,0.04001427,0.0571746,0.00307622,0.00202706,0.00302299,0.00319201
"LP_1",0.02735468,0.04838502,0.02636647,0.04974262,0.00330098,0.00316437,0.00244943,0.00253691
"BETA_1",0.03324239,0.06407222,0.03137168,0.06311391,0.00209965,0.00326444,0.00254154,0.00308095
"Reff.S1","MeanDiff.S1","FlowWeightedReff.S1","VolumeError.S1","Reff.S1_conf","MeanDiff.S1_conf","FlowWeightedReff.S1_conf","VolumeError.S1_conf"
"PERC",0.03455941,0.00483061,0.02080156,0.00490339,0.00539515,0.00134783,0.0034697,0.00112732
"Alpha",0.00500703,0.03819407,0.08438691,0.00198073,0.00169252,0.00310329,0.00489656,0.00092838
