"me.delta","mae.delta","mse.delta","rmse.delta","pbias.delta","nse.delta","me.delta_conf","mae.delta_conf","mse.delta_conf","rmse.delta_conf","pbias.delta_conf","nse.delta_conf"
"w",0.05742887,0.07431518,0.06702891,0.06660219,0.05569018,0.06719635,0.00479583,0.0052618,0.00259204,0.00389254,0.00448421,0.00548756
"n_imperv",0.06610719,0.08974642,0.07026222,0.06934473,0.0655527,0.0705323,0.00352324,0.00432691,0.00372606,0.0050392,0.00290337,0.00520483
"n_perv",0.06219306,0.06076801,0.05961984,0.05878632,0.06204151,0.05917136,0.00361891,0.00574167,0.00554816,0.00415466,0.00306713,0.00475583
"s_imperv",0.05717912,0.05492025,0.05647284,0.05703485,0.0584743,0.05730487,0.00275365,0.00373497,0.00439011,0.00317931,0.00339477,0.00290078
"s_perv",0.0514525,0.05709308,0.05717734,0.05849212,0.05154889,0.05685506,0.00444209,0.00378011,0.00363751,0.00331389,0.00374575,0.00378678
"k_sat",0.06999443,0.06766557,0.06426484,0.0648732,0.07046245,0.06596635,0.00361805,0.00445136,0.00497508,0.00538977,0.00498189,0.00482979
"per_routed",0.2389908,0.09651279,0.08261694,0.08346144,0.24034947,0.08392056,0.00652244,0.00450396,0.00374253,0.00595273,0.00356678,0.00546097
"cmelt",0.06471309,0.05975146,0.06803528,0.06937562,0.0650954,0.0688209,0.0026437,0.00450689,0.00442821,0.00413602,0.00362224,0.00343498
"Tb",0.0567381,0.07071523,0.07769164,0.07722566,0.05614479,0.07974671,0.00548352,0.00395166,0.00449411,0.00320237,0.00424668,0.00581448
"A1",0.2924849,0.3588818,0.40535269,0.40627807,0.29170545,0.40443131,0.0060262,0.00299933,0.00545469,0.00306043,0.00470217,0.00300294
"B1",0.16071454,0.25809878,0.24225903,0.24260026,0.16067467,0.24340213,0.00557232,0.00504881,0.00427628,0.00318903,0.00454418,0.00518257
"me.S1","mae.S1","mse.S1","rmse.S1","pbias.S1","nse.S1","me.S1_conf","mae.S1_conf","mse.S1_conf","rmse.S1_conf","pbias.S1_conf","nse.S1_conf"
"w",0.00268522,0.00799519,0.00470259,0.00448766,0.00268866,0.00470259,0.00208631,0.00289413,0.00297292,0.00210335,0.00152056,0.00220829
"n_imperv",0.00658942,0.02402908,0.00751576,0.00744492,0.00658528,0.00751576,0.00294503,0.00260428,0.00454107,0.00236887,0.00308558,0.00360266
"n_perv",0.0042154,0.00454117,0.00616449,0.00613477,0.00421264,0.00616449,0.00149124,0.00129421,0.00212276,0.00214989,0.00219262,0.00236295
"s_imperv",0.00514836,0.00360399,0.00402356,0.00404076,0.00514446,0.00402356,0.00288666,0.00174561,0.0018782,0.00190791,0.00300994,0.0022989
"s_perv",0.0032335,0.0026694,0.00294764,0.00300521,0.00323595,0.00294764,0.00098635,0.00103776,0.00100412,0.00188963,0.00173195,0.00172708
"k_sat",0.04728377,0.02851055,0.02318208,0.02220477,0.04727282,0.02318208,0.00534161,0.00350455,0.00328001,0.00561124,0.01125633,0.00382799
"per_routed",0.27036188,0.05026832,0.02616933,0.0256604,0.27036968,0.02616933,0.01156539,0.00643863,0.00404909,0.00624189,0.01632335,0.00514567
"cmelt",0.00940235,0.01524009,0.03137708,0.03506967,0.00940858,0.03137708,0.00310756,0.00519804,0.00481675,0.00750452,0.00359846,0.0054163
