,qs0,lnTe,m,Sr0,Srmax,td,vch,vr,k0,CD,NSE
1,2.23E-05,-0.796760267,0.558596054,1.340816132,0.021533903,0.426084058,1985.845755,623.6027845,0.097213575,0.30488508,0.058618631
2,2.67E-05,-0.831548231,0.442688303,1.007269019,0.021239459,0.199990584,1794.975631,640.2119077,0.135212316,0.958542293,-0.135441405
3,2.49E-05,-1.91678939,0.579873467,3.262461846,0.013033351,0.44973616,1164.67901,1077.174349,0.130281626,0.388209391,-0.32580186
4,1.53E-05,-0.74232833,0.505953921,0.463506391,0.023188071,0.257293946,1365.882556,693.4444761,0.108055877,0.270760509,0.040490092
5,1.76E-05,-1.638370984,0.390949477,1.00409876,0.02455878,0.286211005,847.3424712,795.9210068,0.143627983,0.821176569,0.127047788
6,1.06E-05,-0.415400157,0.573479333,3.239049521,0.028227666,0.403347745,1841.116014,1002.129991,0.123702251,0.489418955,-0.01785423
7,2.39E-05,-1.446224319,0.611096099,1.557352476,0.026400295,0.334738616,503.8668101,1868.791383,0.063651552,0.06557749,0.150812842
8,2.35E-05,-1.160000234,0.586950311,3.88377048,0.01721951,0.415725845,1305.747473,1779.846915,0.101538798,0.652771289,0.099906645
9,1.88E-05,-0.26556708,0.33822841,1.744086107,0.012197386,0.218149427,1352.993568,1757.263656,0.094764662,0.091014237,-0.381496318
10,1.83E-05,-1.841333737,0.473341237,2.411722001,0.026108891,0.05594134,1198.94662,1875.838063,0.132242405,0.779015764,0.158277979
11,2.63E-05,-0.501087702,0.607925707,1.97957173,0.012356543,0.06815865,922.2847284,894.4786031,0.061043221,0.710773997,-0.1567299
12,2.52E-05,-1.732306301,0.660598038,1.672385964,0.01877408,0.283769023,1456.267529,716.819664,0.077205814,0.052041854,0.061323972
13,1.65E-05,-0.524804673,0.324409667,3.082813607,0.026552108,0.41065558,993.8729624,1521.526568,0.097273416,0.518278492,-0.076705224
14,1.01E-05,-0.702397929,0.631930921,3.679663918,0.027270971,0.310857863,1789.592573,1101.733242,0.133867975,0.201743683,-0.002789607
15,2.71E-05,-1.579617987,0.421277431,3.874320476,0.024593953,0.163195648,1088.672182,616.6968496,0.056406895,0.168041173,-0.2263289
16,1.07E-05,-0.451860305,0.464772242,2.140665218,0.025974596,0.136381998,636.6376993,1876.193696,0.092045172,0.512893905,0.000194227
17,1.64E-05,-1.896435855,0.603061583,2.357018235,0.012285339,0.231352478,1907.079638,1516.747141,0.068858127,0.52490375,0.165714394
18,2.03E-05,-0.549744953,0.615220979,2.078008403,0.026275867,0.493119051,539.4845887,1479.352344,0.105040823,0.277398325,0.02541614
19,2.65E-05,-0.63131511,0.532127911,2.618702647,0.01215149,0.399679002,1504.941136,805.1069661,0.092673583,0.940148118,-0.21620491
20,1.15E-05,-1.081287211,0.332385961,0.099657462,0.024949402,0.371884033,877.2813414,1314.541976,0.12864997,0.518152033,0.070651312
21,2.24E-05,-1.260826312,0.470555749,2.660698022,0.02673348,0.253008003,1015.578601,819.9255569,0.12282819,0.753084867,0.102807325
22,1.56E-05,-1.330562064,0.534943092,1.742619975,0.017762744,0.014968822,1124.614809,911.3093048,0.126544914,0.540318304,0.172603857
23,1.75E-05,-1.911420613,0.50157773,1.467764983,0.021339514,0.344204671,1741.927809,1052.451882,0.09949741,0.636259947,0.140874764
24,1.10E-05,-1.652942418,0.533366465,3.934596473,0.010198507,0.301454272,850.7157954,1450.216773,0.141221427,0.601300006,0.178281289
25,2.32E-05,-0.293103791,0.549134529,3.989610294,0.016818075,0.499353896,1865.614541,1598.249016,0.107816135,0.690209851,-0.088952677
26,2.21E-05,-1.281555512,0.684383306,2.496340243,0.014508842,0.04734945,1450.884137,528.6632663,0.127158979,0.22661047,0.160083489
27,2.64E-05,-1.220245458,0.302569208,2.148266138,0.025497494,0.368107456,569.280182,564.1242942,0.142325869,0.971603276,-0.351159343
28,2.87E-05,-0.986187177,0.645823621,3.321691757,0.011287601,0.461411012,1547.09341,853.4739357,0.06612393,0.23459741,-0.098004005
29,2.95E-05,-1.011881793,0.317421873,1.584260872,0.026485168,0.309069453,1116.417095,1402.915299,0.117104011,0.210614277,-0.415472794
30,1.00E-05,-1.853442726,0.544961562,3.08695186,0.014346745,0.153191476,1762.313404,1202.734158,0.108320855,0.671640239,0.203057092
