"NSE.delta","NSE.delta_conf"
"qs0",0.39047891,0.01262719
"lnTe",0.04470317,0.00632968
"m",0.18572465,0.01023615
"Sr0",0.03558924,0.00521853
"Srmax",0.08282474,0.00729358
"td",0.03248825,0.00636236
"vch",0.03447531,0.00745867
"vr",0.03607045,0.00409806
"k0",0.0334118,0.00594698
"CD",0.03592607,0.00675762
"NSE.S1","NSE.S1_conf"
"qs0",0.50243577,0.03184282
"lnTe",0.00519894,0.00386303
"m",0.25596175,0.01913165
"Sr0",0.00459097,0.00462024
"Srmax",0.05272549,0.01420583
"td",0.0038171,0.00388977
"vch",0.00259149,0.00373147
"vr",0.00228964,0.00326439
"k0",0.00260311,0.0036121
"CD",0.00535916,0.00693986
"NSE.delta","NSE.delta_conf"
"qs0",0.39322455,0.00742038
"lnTe",0.0443459,0.00735052
"m",0.18434768,0.01097713
"Sr0",0.03101746,0.00803987
"Srmax",0.08265019,0.00504519
"td",0.03399971,0.0038284
"vch",0.03383618,0.00549526
"vr",0.03502721,0.00638027
"k0",0.03142248,0.00387935
"CD",0.0368372,0.0062706
"NSE.S1","NSE.S1_conf"
"qs0",0.50243577,0.03528849
"lnTe",0.00519894,0.00497796
"m",0.25596175,0.01386647
"Sr0",0.00459097,0.00360302
"Srmax",0.05272549,0.01370466
"td",0.0038171,0.002375
"vch",0.00259149,0.00534725
"vr",0.00228964,0.0037011
"k0",0.00260311,0.00534628
"CD",0.00535916,0.00395082
"NSE.delta","NSE.delta_conf"
"qs0",0.39322455,0.00742038
"lnTe",0.0443459,0.00735052
"m",0.18434768,0.01097713
"Sr0",0.03101746,0.00803987
"Srmax",0.08265019,0.00504519
"td",0.03399971,0.0038284
"vch",0.03383618,0.00549526
"vr",0.03502721,0.00638027
"k0",0.03142248,0.00387935
"CD",0.0368372,0.0062706
"NSE.S1","NSE.S1_conf"
"qs0",0.50243577,0.03528849
"lnTe",0.00519894,0.00497796
"m",0.25596175,0.01386647
"Sr0",0.00459097,0.00360302
"Srmax",0.05272549,0.01370466
"td",0.0038171,0.002375
"vch",0.00259149,0.00534725
"vr",0.00228964,0.0037011
"k0",0.00260311,0.00534628
"CD",0.00535916,0.00395082
