"","secs","timest","st_id","st_lon","st_lat","q_cms","q_cfs","dpth_m","POSIXct","wy","dateTime"
"1",3600,"2010-01-01 02:00:00","    18578829",-87.38462,34.28121,0.863,30.473,0,2010-01-01 02:00:00,2010,2010-01-01 02:00:00
"2",7200,"2010-01-01 03:00:00","    18578829",-87.38462,34.28121,3.076,108.638,0,2010-01-01 03:00:00,2010,2010-01-01 03:00:00
"3",10800,"2010-01-01 04:00:00","    18578829",-87.38462,34.28121,5.908,208.639,0,2010-01-01 04:00:00,2010,2010-01-01 04:00:00
"4",14400,"2010-01-01 05:00:00","    18578829",-87.38462,34.28121,7.749,273.647,0,2010-01-01 05:00:00,2010,2010-01-01 05:00:00
"5",18000,"2010-01-01 06:00:00","    18578829",-87.38462,34.28121,8.768,309.656,0,2010-01-01 06:00:00,2010,2010-01-01 06:00:00
"6",21600,"2010-01-01 07:00:00","    18578829",-87.38462,34.28121,9.552,337.314,0,2010-01-01 07:00:00,2010,2010-01-01 07:00:00
"7",25200,"2010-01-01 08:00:00","    18578829",-87.38462,34.28121,10.354,365.65,0,2010-01-01 08:00:00,2010,2010-01-01 08:00:00
"8",28800,"2010-01-01 09:00:00","    18578829",-87.38462,34.28121,11.223,396.348,0,2010-01-01 09:00:00,2010,2010-01-01 09:00:00
"9",32400,"2010-01-01 10:00:00","    18578829",-87.38462,34.28121,12.147,428.972,0,2010-01-01 10:00:00,2010,2010-01-01 10:00:00
"10",36000,"2010-01-01 11:00:00","    18578829",-87.38462,34.28121,13.094,462.4,0,2010-01-01 11:00:00,2010,2010-01-01 11:00:00
"11",39600,"2010-01-01 12:00:00","    18578829",-87.38462,34.28121,14.01,494.761,0,2010-01-01 12:00:00,2010,2010-01-01 12:00:00
"12",43200,"2010-01-01 13:00:00","    18578829",-87.38462,34.28121,14.827,523.608,0,2010-01-01 13:00:00,2010,2010-01-01 13:00:00
"13",46800,"2010-01-01 14:00:00","    18578829",-87.38462,34.28121,15.513,547.836,0,2010-01-01 14:00:00,2010,2010-01-01 14:00:00
"14",50400,"2010-01-01 15:00:00","    18578829",-87.38462,34.28121,16.01,565.392,0,2010-01-01 15:00:00,2010,2010-01-01 15:00:00
"15",54000,"2010-01-01 16:00:00","    18578829",-87.38462,34.28121,16.286,575.143,0,2010-01-01 16:00:00,2010,2010-01-01 16:00:00
"16",57600,"2010-01-01 17:00:00","    18578829",-87.38462,34.28121,16.334,576.818,0,2010-01-01 17:00:00,2010,2010-01-01 17:00:00
"17",61200,"2010-01-01 18:00:00","    18578829",-87.38462,34.28121,16.165,570.857,0,2010-01-01 18:00:00,2010,2010-01-01 18:00:00
"18",64800,"2010-01-01 19:00:00","    18578829",-87.38462,34.28121,15.809,558.273,0,2010-01-01 19:00:00,2010,2010-01-01 19:00:00
"19",68400,"2010-01-01 20:00:00","    18578829",-87.38462,34.28121,15.294,540.093,0,2010-01-01 20:00:00,2010,2010-01-01 20:00:00
"20",72000,"2010-01-01 21:00:00","    18578829",-87.38462,34.28121,14.655,517.527,0,2010-01-01 21:00:00,2010,2010-01-01 21:00:00
"21",75600,"2010-01-01 22:00:00","    18578829",-87.38462,34.28121,13.938,492.222,0,2010-01-01 22:00:00,2010,2010-01-01 22:00:00
